,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Temperature
0,plettenberg bay,0,ZA,2018-10-20,100,-34.05,23.37,14.5,8.76,14.5
1,pangnirtung,32,CA,2018-10-20,100,66.15,-65.72,-8.83,2.11,-8.83
2,hilo,75,US,2018-10-20,83,19.71,-155.08,24,5.01,20.04
3,hermanus,20,ZA,2018-10-20,52,-34.42,19.24,13.43,4.86,13.43
4,jacareacanga,8,BR,2018-10-20,92,-6.22,-57.76,25.35,1.41,25.35
5,cherskiy,68,RU,2018-10-20,89,68.75,161.3,-10.48,2.16,-10.48
6,albany,90,US,2018-10-20,81,42.65,-73.75,9,2.1,8.49
7,lorengau,36,PG,2018-10-20,100,-2.02,147.27,26.63,2.06,26.63
8,pemba,40,MZ,2018-10-20,94,-12.97,40.52,23,2.6,23
9,sao miguel,80,BR,2018-10-20,88,4.52,-61.01,21.6,1.06,21.6
10,torbay,90,CA,2018-10-20,87,47.66,-52.73,10,11.3,10
11,arman,90,RU,2018-10-20,100,59.7,150.17,4,1.66,4
12,peniche,20,PT,2018-10-20,82,39.36,-9.38,17,4.1,17
13,saskylakh,76,RU,2018-10-20,85,71.97,114.09,-10.05,2.31,-10.05
14,busselton,92,AU,2018-10-20,100,-33.64,115.35,16.53,10.56,16.53
15,nouadhibou,100,MR,2018-10-20,77,20.93,-17.03,21,5.7,21
16,barrow,56,AR,2018-10-20,60,-38.31,-60.23,14.1,4.56,14.1
17,mataura,8,NZ,2018-10-20,72,-46.19,168.86,21.65,2.66,21.65
18,marawi,56,PH,2018-10-20,88,8,124.29,25.15,1.01,25.15
19,belmonte,44,PT,2018-10-20,93,40.36,-7.35,13.88,3.91,13.88
20,sept-iles,75,CA,2018-10-20,86,50.2,-66.38,4,6.7,4
21,mar del plata,36,AR,2018-10-20,44,-46.43,-67.52,12.05,5.61,12.05
22,thompson,75,CA,2018-10-20,63,55.74,-97.86,-3,3.6,-3
23,qaanaaq,20,GL,2018-10-20,100,77.48,-69.36,-16.33,6.36,-16.33
24,punta arenas,0,CL,2018-10-20,65,-53.16,-70.91,7,8.7,7
25,bluff,0,AU,2018-10-20,40,-23.58,149.07,33.15,3.11,33.15
26,isangel,100,VU,2018-10-20,100,-19.55,169.27,21.68,11.16,21.68
27,rikitea,68,PF,2018-10-20,100,-23.12,-134.97,24.2,4.71,24.2
28,galanta,0,SK,2018-10-20,65,48.19,17.73,7,4.6,7
29,ushuaia,90,AR,2018-10-20,75,-54.81,-68.31,5,9.3,5
30,tiksi,68,RU,2018-10-20,85,71.64,128.87,-7.13,2.31,-7.13
31,kamaishi,20,JP,2018-10-20,55,39.28,141.86,17,1,17
32,ligayan,88,PH,2018-10-20,100,4.65,119.47,27.8,2.71,27.8
33,castro,92,CL,2018-10-20,97,-42.48,-73.76,8.6,3.91,8.6
34,novi ligure,0,IT,2018-10-20,55,44.76,8.79,19,2.6,19
35,edson,1,CA,2018-10-20,26,53.59,-116.44,8,2.6,8
36,monterey,1,US,2018-10-20,52,36.6,-121.89,18,3.1,15.7
37,chumikan,0,RU,2018-10-20,70,54.72,135.31,3.18,3.76,3.18
38,puerto ayora,12,EC,2018-10-20,100,-0.74,-90.35,21.18,6.46,21.18
39,belushya guba,,,,,,,,,
40,atuona,76,PF,2018-10-20,100,-9.8,-139.03,25.65,7.51,25.65
41,alice springs,0,AU,2018-10-20,14,-23.7,133.88,26,3.1,26
42,grand river south east,,,,,,,,,
43,new norfolk,20,AU,2018-10-20,48,-42.78,147.06,16,5.1,16
44,tasiilaq,0,GL,2018-10-20,68,65.61,-37.64,-1,6.2,-1
45,xuddur,0,SO,2018-10-20,93,4.12,43.89,19.25,3.06,19.25
46,vanavara,64,RU,2018-10-20,84,60.35,102.28,-0.63,1.66,-0.63
47,luderitz,48,NA,2018-10-20,93,-26.65,15.16,14,2.1,14
48,kumluca,0,TR,2018-10-20,85,36.37,30.29,2.5,0.61,2.5
49,kruisfontein,44,ZA,2018-10-20,85,-34,24.73,14.3,5.36,14.3
50,ilo,88,PE,2018-10-20,100,-17.65,-71.34,14.65,0.86,14.65
51,nurota,0,UZ,2018-10-20,60,40.56,65.69,6,5.1,6
52,beaverlodge,20,CA,2018-10-20,42,55.21,-119.43,8,5.1,8
53,darnah,0,LY,2018-10-20,99,32.77,22.64,24,4.81,24
54,saleaula,,,,,,,,,
55,jamestown,0,AU,2018-10-20,38,-33.21,138.6,21.9,2.96,21.9
56,samalaeulu,,,,,,,,,
57,alotau,,,,,,,,,
58,ust-tsilma,76,RU,2018-10-20,83,65.44,52.15,-2.95,1.16,-2.95
59,port alfred,68,ZA,2018-10-20,92,-33.59,26.89,15.28,3.21,15.28
60,svetlogorsk,75,RU,2018-10-20,88,53.14,59.15,5,3,5
61,fort smith,1,US,2018-10-20,75,35.39,-94.42,14,3.76,10.25
62,mount isa,0,AU,2018-10-20,13,-20.73,139.49,33,3.1,33
63,namatanai,12,PG,2018-10-20,100,-3.66,152.44,28.25,2.06,28.25
64,nikolskoye,20,RU,2018-10-20,93,59.7,30.79,5,1,5
65,sinjai,48,ID,2018-10-20,62,-5.12,120.25,30.38,1.51,30.38
66,bambous virieux,40,MU,2018-10-20,88,-20.34,57.76,22,1,22
67,inirida,12,CO,2018-10-20,82,3.87,-67.92,27.1,1.66,27.1
68,sierra vista,1,US,2018-10-20,59,31.55,-110.3,19,5.1,18.38
69,pacific grove,1,US,2018-10-20,52,36.62,-121.92,18,3.1,15.7
70,anito,80,PH,2018-10-20,100,12.45,125.29,27.1,2.16,27.1
71,clyde river,90,CA,2018-10-20,92,70.47,-68.59,-13,5.7,-13
72,vinh,64,VN,2018-10-20,100,18.67,105.69,25.75,1.06,25.75
73,lianzhou,92,CN,2018-10-20,98,24.79,112.38,19.93,1.21,19.93
74,karasjok,92,NO,2018-10-20,86,69.47,25.52,1,10.8,1
75,lebu,20,ET,2018-10-20,76,8.96,38.73,12,2.1,12
76,atambua,0,ID,2018-10-20,77,-9.11,124.89,30.28,1.96,30.28
77,cabo san lucas,5,MX,2018-10-20,83,22.89,-109.91,26,3.66,25.53
78,bethel,1,US,2018-10-20,80,60.79,-161.76,4,4.1,4
79,ulaanbaatar,40,MN,2018-10-20,30,47.92,106.92,5,4,5
80,diego de almagro,36,CL,2018-10-20,94,-26.39,-70.05,12.85,1.06,12.85
81,vaini,8,IN,2018-10-20,68,15.34,74.49,24.15,1.51,24.15
82,hobart,20,AU,2018-10-20,48,-42.88,147.33,16,5.1,16
83,sitka,0,US,2018-10-20,54,37.17,-99.65,11.25,4.56,11.25
84,devonport,20,AU,2018-10-20,77,-41.18,146.36,15.5,2.81,15.5
85,vitim,76,RU,2018-10-20,81,59.44,112.57,-3.23,1.46,-3.23
86,anadyr,75,RU,2018-10-20,86,64.73,177.51,-3,6,-3
87,pueblo nuevo,92,MX,2018-10-20,63,23.99,-106.96,29.15,1.76,29.15
88,zhanatas,,,,,,,,,
89,chokurdakh,0,RU,2018-10-20,81,70.62,147.9,-10.13,5.36,-10.13
90,kapaa,40,US,2018-10-20,61,22.08,-159.32,30,7.2,28.65
91,askiz,20,RU,2018-10-20,89,53.13,90.53,-0.38,1.96,-0.38
92,taolanaro,,,,,,,,,
93,natal,0,BR,2018-10-20,78,-5.81,-35.21,25,2.6,25
94,ancud,88,CL,2018-10-20,86,-41.87,-73.83,9.78,4.66,9.78
95,male,44,UA,2018-10-20,73,50.74,33.7,7.6,3.76,7.6
96,saint george,20,GR,2018-10-20,87,39.45,22.34,14,2.1,14
97,ayan,92,TR,2018-10-20,99,40.67,33.6,8.63,1.16,8.63
98,alta floresta,12,BR,2018-10-20,95,-9.87,-56.08,23.28,1.06,23.28
99,sao joao da barra,92,BR,2018-10-20,100,-21.64,-41.05,21.7,6.51,21.7
100,lavrentiya,64,RU,2018-10-20,100,65.58,-170.99,4.7,6.91,4.7
101,roald,92,NO,2018-10-20,93,62.58,6.12,12,11.3,11.58
102,adrar,0,DZ,2018-10-20,25,27.87,-0.29,23,3.1,23
103,bilibino,80,RU,2018-10-20,73,68.06,166.44,-11.4,1.41,-11.4
